Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
Ivp frozen skinless fillets pacific black grouper 6-10 oz fracc /50lb,CBG6111000,code128,,PE16,LB,LB,LB,20,20,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen minutas caribbean lane snapper 3-5 oz 20lb box,CLS3516000,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Iwp frozen skinless fillets caribbean queen trigger fish s/t fracc /20lb,CQT0011000,code128,,PE16,LB,LB,LB,20,20,19,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen skinless fillets  co treated caribbean queen trigger fish s/t 20lb box,CQT0011200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen minutas caribbean yellowtail snapper 3-5 oz 20lb box,CYT3516200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen minutas caribbean yellowtail snapper 3-5 oz fracc /20lb,CYT3516000,code128,,PE16,LB,LB,LB,20,20,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen skinless fillets co treated caribbean black grouper 3-5 lb fracc /50lb,CBG3509000,code128,,PE16,LB,LB,LB,50,50,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
"Iwp frozen tail ""a"" caribbean lobster 5 oz fracc /10lb",CLO0523000,code128,,LB12,LB,LB,LB,10,10,9.9,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Iwp frozen tail bcf caribbean lobster 5 oz fracc /10lb,CLO0524000,code128,,LB12,LB,LB,LB,10,10,9,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
"Iwp frozen tail ""a"" caribbean lobster 6oz fracc /10lb",CLO0623000,code128,,LB12,LB,LB,LB,10,10,9,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Iwp frozen tail bcf caribbean lobster 6oz fracc /10lb,CLO0624000,code128,,LB12,LB,LB,LB,10,10,9,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
"Iwp frozen tail ""a"" caribbean lobster 7oz fracc /10lb",CLO0723000,code128,,LB12,LB,LB,LB,10,10,9,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
"Iwp frozen tail ""a"" caribbean lobster 8oz fracc /10lb",CLO0823000,code128,,LB12,LB,LB,LB,10,10,9,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Iwp frozen tail bcf caribbean lobster 8oz fracc /10lb,CLO0824000,code128,,LB12,LB,LB,LB,10,10,9,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
"Iwp frozen tail ""a"" caribbean lobster 9oz fracc /10lb",CLO0923000,code128,,LB12,LB,LB,LB,10,10,9,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Espina de pescado,OES0098000,code128,,PE16,LB,LB,LB,0,0,30,SIN IVA,inclusive,no_image.png,PE16,,,Sub Producto,,,,,,,,,
Ivp frozen skinless fillets caribean  black grouper 10-16 oz 30lb box,PBG1009000,code128,,PE16,LB,LB,LB,30,30,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen skinless fillets co treated pacific black grouper 4-6 oz fracc /30lb,PBG4609000,code128,,PE16,LB,LB,LB,30,30,19,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen skinless fillets co treated pacific corvina 6-10 oz fracc /20lb,PCO6109000,code128,,PE16,LB,LB,LB,20,20,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Iwp frozen  ggs pacific dog snapper 10-up lb fracc /50lb,PDS1033000,code128,,PE16,LB,LB,LB,50,50,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Iwp frozen  ggs pacific dog snapper 5-10 lb fracc /50lb,PDS5133000,code128,,PE16,LB,LB,LB,50,50,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Iwp frozen skinless fillets  caribbean cobia s/t fracc /20lb,CCB0014000,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Sardina gallera importada congelada  33lb bolsa,OSG0021500,code128,,BA51,LB,LB,LB,33,33.6,33,SIN IVA,inclusive,no_image.png,PE16,,,Bait,,,,,,,,,
Sardina gallera local congelada fracc /30lb,OSG0022000,code128,,PE16,LB,LB,LB,0,0,30,SIN IVA,inclusive,no_image.png,PE16,,,Bait,,,,,,,,,
Hlso caribbean white shrimp 26-30 fracc /4lb block,CWH2318000,code128,,CM05,LB,LB,LB,4,4,0,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
P&d farm white shrimp 51-60 fracc /4lb block,FWH5620000,code128,,CM05,LB,LB,LB,4,4,5,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso farm raised white shrimp 71-90 20lb box,FWH7920000,code128,,CM05,LB,LB,LB,20,22.12,0,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso caribbean white shrimp 16-20 fracc /4lb block,CWH1618000,code128,,CM05,LB,LB,LB,4,4,0,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Pud pacific white shrimp 300-500 fracc /4lb block,OTT3525000,code128,,CM05,LB,LB,LB,4,4,0,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Ivp frozen skinless fillets co treated pacific mahi mahi 4-6 onz 20lb box,PMM4609200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen skinless fillets co treated pacific mahi mahi 6-8 onz 20lb box,PMM6809200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen skinless fillets co treated pacific atun s/t 20lb box,PAT0009200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Whole frozen co treated iwp pacific guacamayo snapper 1-5 lbs 50lb box,PGS1533500,code128,,PE16,LB,LB,LB,50,55.16,50,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Whole frozen co treated iwp pacific guacamayo snapper 10-up lbs 50lb box,PGS1033500,code128,,PE16,LB,LB,LB,50,55.16,50,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Hlso other pink shrimp u8 4lb block,OPI0818040,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other brown shrimp u8 4lb block,OBR0818040,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other pink shrimp u10 4lb block,OPI1018040,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other brown shrimp u10 4lb block,OBR1018040,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other pink shrimp u12 4lb block,OPI1218040,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other brown shrimp u12 4lb block,OBR1218040,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other pink shrimp u15 4lb block,OPI1518040,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other brown shrimp u15 4lb block,OBR1518040,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other pink shrimp 16-20 4lb block,OPI1618040,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other white shrimp u10 40lb master,OWH1018400,code128,,CM05,LB,LB,LB,40,40,40,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other pink shrimp u10 40lb master,OPI1018400,code128,,CM05,LB,LB,LB,40,40,40,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other brown shrimp u10 40lb master,OBR1018400,code128,,CM05,LB,LB,LB,40,40,40,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other white shrimp u12 40lb master,OWH1218400,code128,,CM05,LB,LB,LB,40,40,40,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other pink shrimp u12 40lb master,OPI1218400,code128,,CM05,LB,LB,LB,40,40,40,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other brown shrimp u12 40lb master,OBR1218400,code128,,CM05,LB,LB,LB,40,40,40,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other white shrimp u15 40lb master,OWH1518400,code128,,CM05,LB,LB,LB,40,40,40,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other pink shrimp u15 40lb master,OPI1518400,code128,,CM05,LB,LB,LB,40,40,40,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other brown shrimp u15 40lb master,OBR1518400,code128,,CM05,LB,LB,LB,40,40,40,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Hlso other white shrimp 21-25 4lb block b,OWH2218049,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Camaron cola  white shrimp 36-40 4lb block b,OWH3418049,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Camaron cola  white shrimp 41-50 4lb block b,OWH4518049,code128,,CM05,LB,LB,LB,4,4,4,SIN IVA,inclusive,no_image.png,CM3,,,Productos Terminados,,,,,,,,,
Mariscada bolsa 2 lb,PMA2000000,code128,,MX14,LB,LB,LB,2,2,20,SIN IVA,inclusive,no_image.png,MX14,,,Productos Terminados,,,,,,,,,
Sopa marinera bolsa 2 lb,PSS1750000,code128,,MX14,LB,LB,LB,2,2,20,SIN IVA,inclusive,no_image.png,MX14,,,Productos Terminados,,,,,,,,,
Filete de pargo con piel s/t 10lb box,POS6849120,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Filete de pargo sin piel 6-8 oz 2lb bolsa,POS6811120,code128,,PE16,LB,LB,LB,2,2,2,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Filete de corvina 4-6 onz 2lb bolsa caja 20lb,PCO4611120,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
