Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
IVP FROZEN CO TREATED SKINLESS FILLETS  CARIBBEAN TRIPPLE TAIL 1-3 LB 30LB BOX,CTR1309300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,33.12,,,,,,,,
FILETE DE TIBURÓN TIGRE S/T CONGELADO CAJA 20LB,CTT8114200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,22.12,,,,,,,,
FRESH CARIBBEAN VERMILION SNAPPER 5-10 LBS 80LB BOX,CVS5101110,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
HLSO CARIBBEAN WHITE SHRIMP U15 4LB BLOCK,CWH1518043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,4,,,,,,,,
HLSO CARIBBEAN WHITE SHRIMP 16-20 4LB BLOCK,CWH1618043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,4,,,,,,,,
HLSO CARIBBEAN WHITE SHRIMP 21-25 4LB BLOCK,CWH2218043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,4,,,,,,,,
HLSO CARIBBEAN WHITE SHRIMP 26-30 4LB BLOCK,CWH2318043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,4,,,,,,,,
HLSO CARIBBEAN WHITE SHRIMP 26-30 40LB MASTER,CWH2318403,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,40,40,,,,,,,,
P&D CARIBBEAN WHITE SHRIMP 41-50 40LB MASTER PACIFIC PEARL,CWH4520404,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,40,40,,,,,,,,
P&D CARIBBEAN WHITE SHRIMP 51-60 40LB MASTER PACIFIC PEARL,CWH5620404,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,40,40,,,,,,,,
